name,team,team_country,total_goals,total_assists,market_value
Lionel Messi,Paris Saint-Germain,France,672,268,80M
Cristiano Ronaldo,Al Nassr,Saudi Arabia,674,229,50M
Robert Lewandowski,Barcelona,Spain,472,135,60M
Kylian Mbappé,Paris Saint-Germain,France,132,64,160M
Kevin De Bruyne,Manchester City,England,78,128,100M
Neymar Jr.,Paris Saint-Germain,France,235,140,90M
Erling Haaland,Manchester City,England,85,18,170M
Mohamed Salah,Liverpool,England,154,70,110M
Virgil van Dijk,Liverpool,England,18,10,75M
Harry Kane,Tottenham Hotspur,England,166,32,120M
Sadio Mane,Bayern Munich,Germany,102,45,85M
Sergio Ramos,Paris Saint-Germain,France,104,40,5M
Luka Modric,Real Madrid,Spain,70,90,10M
Karim Benzema,Al-Ittihad,Saudi Arabia,350,150,25M
Antoine Griezmann,Atletico Madrid,Spain,220,85,50M
Gerard Pique,Retired,Spain,53,20,Retired
Paulo Dybala,AS Roma,Italy,100,50,45M
Leroy Sane,Bayern Munich,Germany,60,50,70M
Joshua Kimmich,Bayern Munich,Germany,30,70,85M
Raheem Sterling,Chelsea,England,115,75,90M
Romelu Lukaku,Chelsea,England,220,60,60M
Eden Hazard,Real Madrid,Spain,110,92,30M
Jadon Sancho,Manchester United,England,50,60,80M
Marcus Rashford,Manchester United,England,90,50,85M
Mason Mount,Chelsea,England,30,25,75M
Phil Foden,Manchester City,England,35,30,90M
Bruno Fernandes,Manchester United,England,65,45,90M
Frenkie de Jong,Barcelona,Spain,20,35,85M
Matthijs de Ligt,Bayern Munich,Germany,15,10,70M
Declan Rice,West Ham United,England,10,20,75M
Kai Havertz,Chelsea,England,35,25,70M
Timo Werner,RB Leipzig,Germany,95,50,40M
Hakim Ziyech,Chelsea,England,40,45,30M
Christian Pulisic,Chelsea,England,30,35,50M
Milan Skriniar,Inter Milan,Italy,15,10,65M
Gianluigi Donnarumma,Paris Saint-Germain,France,0,0,70M
Jan Oblak,Atletico Madrid,Spain,0,0,60M
Ederson,Manchester City,England,0,3,50M
Alisson Becker,Liverpool,England,1,2,65M
Trent Alexander-Arnold,Liverpool,England,10,45,80M
Andrew Robertson,Liverpool,England,7,42,70M
João Cancelo,Bayern Munich,Germany,10,28,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Alisson Becker,Liverpool,England,1,2,65M
Trent Alexander-Arnold,Liverpool,England,10,45,80M
Andrew Robertson,Liverpool,England,7,42,70M
João Cancelo,Bayern Munich,Germany,10,28,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Alisson Becker,Liverpool,England,1,2,65M
Trent Alexander-Arnold,Liverpool,England,10,45,80M
Andrew Robertson,Liverpool,England,7,42,70M
João Cancelo,Bayern Munich,Germany,10,28,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Andrew Robertson,Liverpool,England,7,42,70M
João Cancelo,Bayern Munich,Germany,10,28,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Andrew Robertson,Liverpool,England,7,42,70M
João Cancelo,Bayern Munich,Germany,10,28,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Andrew Robertson,Liverpool,England,7,42,70M
João Cancelo,Bayern Munich,Germany,10,28,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Andrew Robertson,Liverpool,England,7,42,70M
João Cancelo,Bayern Munich,Germany,10,28,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Andrew Robertson,Liverpool,England,7,42,70M
João Cancelo,Bayern Munich,Germany,10,28,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Andrew Robertson,Liverpool,England,7,42,70M
João Cancelo,Bayern Munich,Germany,10,28,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Andrew Robertson,Liverpool,England,7,42,70M
João Cancelo,Bayern Munich,Germany,10,28,60M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Marquinhos,Paris Saint-Germain,France,30,10,55M
Aymeric Laporte,Manchester City,England,15,5,50M
Ruben Dias,Manchester City,England,8,5,75M
Kalidou Koulibaly,Chelsea,England,20,10,40M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
Theo Hernandez,AC Milan,Italy,25,30,60M
